all_regi,ttot,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5
CAZ,2005,10.661305635747876,10.725369003833915,10.850625135284833,10.881740396158772,10.655509280106193
CHA,2005,7.704713940217354,7.94831351709817,8.109872598961438,8.33277309912727,7.7048372624821395
EUR,2005,9.628324704943408,9.749203661096448,9.926118719014053,9.969435317309792,9.625055274238617
IND,2005,4.829059519603502,5.5905945415225125,6.413180512526446,6.601190955075345,4.82928234985649
JPN,2005,10.90369570122783,10.925709616076276,10.99861410488755,11.030397881735844,10.903001417336084
LAM,2005,5.977559382270705,6.274202082564887,6.602265698440254,6.841960269787418,5.97874031913191
MEA,2005,4.6102743562376185,4.830972634915193,5.330732209098688,5.493197400138932,4.6095986268739715
NEU,2005,7.59680176999647,8.019455777255295,8.6095357316284,8.87102053796228,7.595604023513657
OAS,2005,5.825127649153941,6.240512780090337,6.661295085149611,6.902272590461405,5.825623343424926
REF,2005,9.029645122279975,9.12296892337289,9.205158244805459,9.454360188839539,9.029978301504519
SSA,2005,3.187262069844749,3.6275519149744837,4.460769951853962,4.7243740181008675,3.1873461463281862
USA,2005,9.710879780411522,9.821674637745415,9.92563567461802,9.957355949134174,9.7073913773207
CAZ,2010,10.661305635747876,10.725369003833915,10.850625135284833,10.881740396158772,10.655509280106193
CHA,2010,7.704713940217354,7.94831351709817,8.109872598961438,8.33277309912727,7.7048372624821395
EUR,2010,9.628324704943408,9.749203661096448,9.926118719014053,9.969435317309792,9.625055274238617
IND,2010,4.829059519603502,5.5905945415225125,6.413180512526446,6.601190955075345,4.82928234985649
JPN,2010,10.90369570122783,10.925709616076276,10.99861410488755,11.030397881735844,10.903001417336084
LAM,2010,5.977559382270705,6.274202082564887,6.602265698440254,6.841960269787418,5.97874031913191
MEA,2010,4.6102743562376185,4.830972634915193,5.330732209098688,5.493197400138932,4.6095986268739715
NEU,2010,7.59680176999647,8.019455777255295,8.6095357316284,8.87102053796228,7.595604023513657
OAS,2010,5.825127649153941,6.240512780090337,6.661295085149611,6.902272590461405,5.825623343424926
REF,2010,9.029645122279975,9.12296892337289,9.205158244805459,9.454360188839539,9.029978301504519
SSA,2010,3.187262069844749,3.6275519149744837,4.460769951853962,4.7243740181008675,3.1873461463281862
USA,2010,9.710879780411522,9.821674637745415,9.92563567461802,9.957355949134174,9.7073913773207
CAZ,2015,10.831575396293955,10.841657978720702,10.87444257063522,10.891354016022015,10.827780081663526
CHA,2015,8.169649885307823,8.26576573472882,8.34309910851137,8.467817492221068,8.169751925137467
EUR,2015,9.969063386750584,9.990016807999673,10.038989468248534,10.063644473230603,9.967309884527392
IND,2015,5.971080861597565,6.0859351673594,6.331792557951831,6.455222988499243,5.971178620441483
JPN,2015,11.099823571328624,11.105516170620344,11.131383076146378,11.149724122711543,11.09935742719324
LAM,2015,6.4733949183604444,6.545398798190124,6.660515445897036,6.798507636939877,6.474270558198486
MEA,2015,5.104379822576083,5.142676878484159,5.2838843719050805,5.388576957716891,5.109708264360374
NEU,2015,8.256704842872757,8.351830061808696,8.50696249422215,8.658219673608057,8.257175001715762
OAS,2015,6.38835849503479,6.495440728609641,6.641413546277732,6.779249049782444,6.390263821514962
REF,2015,9.168781639613012,9.180283937140011,9.192990977305328,9.337606385615077,9.171943278492654
SSA,2015,3.9824414855552126,4.070053108637502,4.305799092832043,4.439853014377103,3.98239778056372
USA,2015,9.889232719274483,9.90962609229785,9.941498510671883,9.958921166261248,9.886844176022738
CAZ,2020,10.956696643302253,10.95665510050895,10.956977394612583,10.956653299986467,10.956345465990024
CHA,2020,8.63966359169962,8.639456952316781,8.638951811674296,8.639446235774871,8.63994938868052
EUR,2020,10.179068492643607,10.179148719824683,10.178307646045859,10.179160576050506,10.180017626561598
IND,2020,6.602170467376709,6.602170467376709,6.602170467376709,6.602170467376709,6.602170467376709
JPN,2020,11.235149383544922,11.235149383544922,11.235149383544922,11.235149383544922,11.235149383544922
LAM,2020,6.8310953134283485,6.831567217177856,6.83163078681874,6.831898955231248,6.8311768457359765
MEA,2020,5.408773609950265,5.409675375423271,5.398001625991899,5.4100372791220614,5.420026728980109
NEU,2020,8.687981323705356,8.688044916934537,8.68519664577668,8.688065254519923,8.690888874080834
OAS,2020,6.783862609755784,6.784449882517081,6.780594382875504,6.784544537504815,6.787240531071996
REF,2020,9.192691456593296,9.191740933090694,9.18095217629011,9.19187309392833,9.202434435575997
SSA,2020,4.4324396073184404,4.430332313539753,4.42807507959071,4.428869970338899,4.432220951468848
USA,2020,9.956770324707032,9.956770324707032,9.956770324707032,9.956770324707032,9.956770324707032
CAZ,2025,11.026808148172261,11.01639126262248,10.977565323538249,10.957336035801431,11.031473728469114
CHA,2025,9.045359228108733,8.991950142904619,8.914172465966582,8.777516238513398,9.0460139188138
EUR,2025,10.349879114460498,10.327038520626276,10.26462721172636,10.237023272016645,10.354659716864921
IND,2025,7.211860989312721,7.124153566365654,6.834422246528844,6.692444865461444,7.2117031843272725
JPN,2025,11.305994893079724,11.300570800939411,11.274635840384285,11.2514971132582,11.306659799202032
LAM,2025,7.173055490550838,7.108761697619863,6.98015741490946,6.828708624197976,7.17177450582621
MEA,2025,5.668257615771631,5.6476891865288525,5.498580244083419,5.41426865777656,5.687810673431575
NEU,2025,9.100219579167543,9.011781909799371,8.821761014729919,8.655699120440678,9.106272012438975
OAS,2025,7.180949112371464,7.08997503256262,6.910776511390074,6.7700104571160455,7.1862892930753866
REF,2025,9.179026277976277,9.157695996252333,9.112577160990817,8.971649685967924,9.200515296622097
SSA,2025,4.857653783767661,4.7813389809935805,4.52176841259387,4.38061938568375,4.8570113322904165
USA,2025,10.024020010159512,10.00103119905138,9.960072652790412,9.937535193506584,10.02697641436569
CAZ,2030,11.127379402754682,11.104274127460789,11.03282400391258,10.998596612228013,11.121569609892383
CHA,2030,9.438212759885506,9.321578324037455,9.140302334192423,8.981407578182935,9.439360104284983
EUR,2030,10.522387138398635,10.470786846781822,10.340961021019623,10.29960815866045,10.520062442501773
IND,2030,7.811259220195475,7.652111015381108,7.022461715426093,6.867825340883261,7.811062187395448
JPN,2030,11.369057624368114,11.35809392437425,11.315131581578191,11.276215336344388,11.35730089502005
LAM,2030,7.510142026481672,7.379094233464924,7.090912533530906,6.908475409232459,7.50832320003234
MEA,2030,5.923214620156021,5.872241300903017,5.565722828103613,5.466115205735578,5.950243837536966
NEU,2030,9.533802399267094,9.3498154737877,8.92501003099511,8.716799148510933,9.539880882556625
OAS,2030,7.5852360972420625,7.401791056690183,7.008009869426155,6.8356832798267675,7.592653787827434
REF,2030,9.21554680807669,9.152956656965928,9.053031827770182,8.867202626091302,9.250090985393411
SSA,2030,5.262833423804575,5.133477793185941,4.592898422753006,4.414182672657163,5.261917086647468
USA,2030,10.12921031517436,10.082657645493379,10.007977819107989,9.96971714829161,10.119074425892668
CAZ,2035,11.2245729707071,11.19144436370964,11.093323633737818,11.041287343432144,11.20539763498058
CHA,2035,9.86170366819897,9.676715690874799,9.360267749606155,9.181745634155622,9.86337228223115
EUR,2035,10.690978444002557,10.612080835067747,10.407058131014374,10.351537873638142,10.679537070798071
IND,2035,8.370860619431918,8.168626777294575,7.155326459231245,7.001864021346762,8.370736643600164
JPN,2035,11.446403423060273,11.42875917282386,11.366264689231219,11.308647208948887,11.42202073781663
LAM,2035,7.826186451870845,7.640133910726117,7.167368031874971,6.962122026432187,7.824473690984908
MEA,2035,6.15271204776709,6.078092404356369,5.595126485329953,5.479140150362803,6.187038395658695
NEU,2035,9.949607527609654,9.683298174180191,8.986271530780018,8.747264177556128,9.95391948397473
OAS,2035,7.984166843179703,7.717027670978969,7.0644646406059195,6.864512350507707,7.9938133264896365
REF,2035,9.282605958641197,9.18789004650422,9.02681296423497,8.813767976140749,9.329618988533877
SSA,2035,5.638754324711808,5.477998127583543,4.638331890715625,4.430211961208492,5.637652104602287
USA,2035,10.20653415950992,10.141807960726643,10.04008231688711,9.9850855037185,10.182345648599004
CAZ,2040,11.30850788377138,11.266586304536826,11.140744032370955,11.068907456137069,11.276545674755393
CHA,2040,10.25702890349526,10.001567145169206,9.524130690217797,9.33428382666124,10.25914925073794
EUR,2040,10.842408653109027,10.734991434883302,10.451226683709844,10.381522087986909,10.822594377978739
IND,2040,8.88213727739594,8.661692502577813,7.230894228890604,7.084251837357476,8.882130183682776
JPN,2040,11.514019948485062,11.488660584250319,11.401056855399682,11.320814147597257,11.477133389779826
LAM,2040,8.118070254607675,7.8882828652758965,7.214052276205463,6.987677577776107,8.116763919023809
MEA,2040,6.342974775234996,6.249719207501018,5.581566227062911,5.443667974068396,6.384883735466661
NEU,2040,10.343132523557005,10.008696152667094,9.007149981425208,8.741150555271066,10.343358486861273
OAS,2040,8.368304334400497,8.027975536283916,7.079555132541548,6.852265687136522,8.379513157748633
REF,2040,9.347520432601277,9.225619561459318,9.00904006032192,8.761965293349888,9.40707957459554
SSA,2040,5.990215709585875,5.816487238758927,4.6654644747318494,4.435080621089575,5.9889380181997005
USA,2040,10.286147917028083,10.203474012973343,10.071886914897272,9.997846164730227,10.248694572504029
CAZ,2045,11.388921965548931,11.340307515164254,11.185195257145972,11.093777566230681,11.345084847372615
CHA,2045,10.508189885966493,10.198781693844358,9.560943297363755,9.362487946776017,10.510753678156156
EUR,2045,10.983772623720165,10.847588817591964,10.478080599750076,10.394558165069649,10.955572188521318
IND,2045,9.368455043052379,9.136028613138203,7.253205734151403,7.112184128432719,9.368605447017226
JPN,2045,11.568919710141765,11.536475194703218,11.421344077462415,11.318353613896424,11.520500266925604
LAM,2045,8.391445488794968,8.122269971887528,7.230679473172276,6.980380849405272,8.390857036531537
MEA,2045,6.482994832168083,6.369356894902701,5.5100845141338874,5.338444576052145,6.5327964505843354
NEU,2045,10.717423094844525,10.321614164076115,8.982651786100773,8.687329743133725,10.71018422789381
OAS,2045,8.743459607352218,8.338383399980803,7.0590010033481185,6.800564835960901,8.755099387705085
REF,2045,9.396531874717962,9.249709386438376,8.980982973297785,8.691824706274105,9.468885706552681
SSA,2045,6.322048739962806,6.146403761870043,4.673280894648551,4.426506281305108,6.320610535450091
USA,2045,10.356121544289834,10.258187692368889,10.094356911904649,10.002803535229774,10.30775095049804
CAZ,2050,11.43358713759881,11.392654777951108,11.209331630184257,11.107009318122035,11.389004438351128
CHA,2050,10.704122662020374,10.383741192222109,9.578549792843539,9.391133676264726,10.707068257231183
EUR,2050,11.074203506974825,10.939036890803408,10.49574484593706,10.407536699248514,11.048155625687878
IND,2050,9.72110838986085,9.58508332542489,7.2593233492997085,7.116159649173798,9.721314450823671
JPN,2050,11.602035525720384,11.567307580881915,11.420258099086796,11.302841603807988,11.55298996171468
LAM,2050,8.597843539227489,8.332526499900993,7.231375966138629,6.9625992376185835,8.597175638711626
MEA,2050,6.545136589618361,6.444310707226216,5.426947440348132,5.21756558320841,6.603371508547177
NEU,2050,10.999300632953437,10.6281154792297,8.98287836214585,8.668259276470442,10.98465954821152
OAS,2050,9.065304724815174,8.643998819085745,7.01884644402437,6.734933107726745,9.075276961395218
REF,2050,9.403660277447155,9.248283701380535,8.938152399767084,8.615307631149959,9.49008933252893
SSA,2050,6.6034138029738285,6.45859430295586,4.680416003613204,4.428640151137448,6.601819963908555
USA,2050,10.399581198898847,10.307329346220948,10.10069218507404,10.000059394074272,10.3525914271677
CAZ,2055,11.450418741370953,11.416362726345538,11.204385259657903,11.09905529452463,11.40434226502345
CHA,2055,10.87756153264787,10.560860295112978,9.566790561929876,9.417401592131517,10.880836686875014
EUR,2055,11.142192048298234,11.014974217345276,10.498791209700766,10.416447116093481,11.116937497671756
IND,2055,10.029834854887389,10.020557972943028,7.261420736972272,7.139310945184052,10.030040593964243
JPN,2055,11.624589812436636,11.59105408725267,11.416532342793895,11.292280711382748,11.57532063578708
LAM,2055,8.771735984758491,8.52836289507815,7.2249627704543915,6.9562652075623594,8.770293067709755
MEA,2055,6.56886073893666,6.490001076333827,5.340259501021125,5.096419347250697,6.63444130654647
NEU,2055,11.23462301018658,10.916323441311345,8.979308299026311,8.679328668199513,11.211070986551901
OAS,2055,9.358955542178155,8.952911963829663,6.964200007963628,6.668550548440772,9.364758378262689
REF,2055,9.411649514407484,9.248287211487431,8.89537719719499,8.570426700408191,9.512148028487928
SSA,2055,6.8576178924835585,6.759390865746667,4.682356956719398,4.435533464387216,6.855895596308951
USA,2055,10.431152505241066,10.348495738193687,10.097474703950613,9.994164939531583,10.384389400355229
CAZ,2060,11.458635230748598,11.431648463606699,11.197905946162864,11.09551383363085,11.407013674736836
CHA,2060,11.01957135776711,10.722889116662857,9.5573387855952,9.491998744817428,11.023222215037999
EUR,2060,11.192870184287107,11.0748241517192,10.491522234954951,10.423542897430732,11.165016948580346
IND,2060,10.297472976541416,10.43578102770618,7.260471563932859,7.189631319342089,10.2976631948668
JPN,2060,11.642594219224453,11.612119681417862,11.417941114451654,11.293915025618778,11.58992068223899
LAM,2060,8.917265614237591,8.709700213975893,7.21545788545812,6.969759920242395,8.914468922504948
MEA,2060,6.599746493213626,6.544138157915465,5.2871596209416225,5.016700016754352,6.670277815847458
NEU,2060,11.43541058760211,11.189129805513677,8.971681030347236,8.726540040286872,11.400665018305409
OAS,2060,9.641581885352032,9.28096314902183,6.912527032324308,6.622778763146823,9.640668455171912
REF,2060,9.448429783080783,9.27831235223711,8.883999268875526,8.594690723425234,9.558058116349436
SSA,2060,7.086025773095339,7.048189389465513,4.682742046402762,4.450300524772839,7.084276516125625
USA,2060,10.460249036696572,10.388618333241354,10.099864385348015,9.997756244233152,10.408350598568347
CAZ,2065,11.466969894200433,11.446469682620497,11.19980720006998,11.096888283600359,11.406826193889993
CHA,2065,11.12769983360533,10.863613314293056,9.542766485345705,9.555416757377593,11.131617858145555
EUR,2065,11.240792082978945,11.132060277517734,10.492086732728621,10.438356869734374,11.206436603361594
IND,2065,10.52583753379613,10.82365496546817,7.260313997914768,7.243355337675276,10.526009809911592
JPN,2065,11.659057944735933,11.632744563912649,11.425601005140864,11.30098735234329,11.59916965776574
LAM,2065,9.03936398721073,8.876993123263368,7.205947884507844,6.977189866282044,9.035117522591332
MEA,2065,6.643495117506858,6.6071989016567665,5.257744495247933,4.951072898223877,6.717966646856392
NEU,2065,11.606099258599654,11.443650662503432,8.962813018641606,8.776746259851285,11.558026247215446
OAS,2065,9.912316882807362,9.623181930041532,6.867249786624619,6.577376870300906,9.902694557564441
REF,2065,9.491080821784255,9.31881124088972,8.889419503703863,8.629038490502891,9.606011548155898
SSA,2065,7.2901158338052605,7.32489702876606,4.684785801103502,4.467471819374337,7.288570997096139
USA,2065,10.487594995854971,10.42689946384886,10.111253033500002,10.007596256683993,10.426133645056119
CAZ,2070,11.477760140509416,11.464506041120064,11.205946260767522,11.099534778873956,11.41334339613354
CHA,2070,11.210565423609898,10.98816019269961,9.534562887990043,9.610056393009812,11.214500838730574
EUR,2070,11.285625987229674,11.186575389069986,10.493706902313832,10.454240520921232,11.247533517482925
IND,2070,10.716322336435507,11.175405702400338,7.264900073743165,7.295915443565388,10.716494618437457
JPN,2070,11.6742510923,11.651822216024351,11.432994073884695,11.307374203001661,11.609636609759628
LAM,2070,9.138104004321619,9.030113300166777,7.200135780013799,6.975951497985952,9.133053796469493
MEA,2070,6.6785219557497975,6.660788615086624,5.235322762238611,4.8818373660798144,6.757766989090075
NEU,2070,11.744692562610572,11.677822677790536,8.958317965608632,8.826501350002138,11.683640524334983
OAS,2070,10.15674056586915,9.966386546941157,6.8258566839757115,6.528274621201797,10.137122929068713
REF,2070,9.52528849001246,9.359123522852686,8.901333711411695,8.659442607495436,9.644797836699595
SSA,2070,7.467672810155714,7.593366072784668,4.689664462336287,4.488520850956523,7.466585282061665
USA,2070,10.508098480934363,10.458451291252546,10.11724350016482,10.011153815099245,10.44137463488897
CAZ,2075,11.488157104032354,11.483388385751716,11.211563028906276,11.101404519779251,11.422782914413833
CHA,2075,11.2725404455467,11.099636275127878,9.527338530260131,9.652541338451835,11.276383369564158
EUR,2075,11.325174668259637,11.236362936883882,10.490102782792102,10.467042416630203,11.285679944442121
IND,2075,10.879174633583194,11.49509748225783,7.2714998395140364,7.346041765905632,10.879359998117307
JPN,2075,11.683465842548056,11.664459754997496,11.435513023562848,11.309070004815096,11.616310522140017
LAM,2075,9.22406729302485,9.168729272624837,7.2007635319072945,6.971119018318276,9.219148953644572
MEA,2075,6.6867845383644875,6.692526052444302,5.207624282814461,4.795176354750753,6.773048966224886
NEU,2075,11.857391374997196,11.890453342557812,8.956054481392844,8.874032575485398,11.78312747012635
OAS,2075,10.382106095248593,10.312664119828735,6.79010921928248,6.477650551015394,10.351467336816992
REF,2075,9.54415296598322,9.389134554035783,8.90681014027531,8.676526046450256,9.669239673501167
SSA,2075,7.622829338049981,7.848751150567833,4.696297800994971,4.512193794661144,7.622408445969038
USA,2075,10.522779324389745,10.48497232640861,10.11742835916901,10.009271971838823,10.455022961187318
