all_regi,ttot,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5
CAZ,2080,11.497040157704776,11.50016334785727,11.213937611011104,11.102499663584544,11.431390644384473
CHA,2080,11.320834863137202,11.198636215706404,9.52430761993331,9.691644607452758,11.32457649824271
EUR,2080,11.357234963821336,11.27973937750671,10.481366272542324,10.475715796487052,11.318422502591835
IND,2080,11.014916144794007,11.775518865161146,7.2756360724308,7.395025690733873,11.015117867712885
JPN,2080,11.685269273651079,11.67014260914315,11.431212587519227,11.304627409176755,11.61834576535863
LAM,2080,9.292962641093732,9.290948322370719,7.201201747266025,6.961617600585161,9.288457334242501
MEA,2080,6.676817853244402,6.708195671072551,5.175764959886024,4.704915403462496,6.771325065613542
NEU,2080,11.947397837607605,12.07700730173515,8.954514246707655,8.920430971354865,11.860936243752231
OAS,2080,10.589599675893648,10.666783362164505,6.759243413306445,6.432993976147098,10.546924532628736
REF,2080,9.551035441650152,9.408244192048652,8.902628913520314,8.682803059132894,9.680863776938446
SSA,2080,7.754494219713193,8.088852022062978,4.7023709525424096,4.535927791778869,7.754596327073164
USA,2080,10.536221439246852,10.510839485553866,10.116921358750718,10.008097029396984,10.469559213199421
CAZ,2085,11.500933388929699,11.510968082567038,11.20957128410555,11.099676231207855,11.435051308423533
CHA,2085,11.3562391765774,11.285191940163427,9.51817783906336,9.724020600187238,11.359894509975984
EUR,2085,11.382443873079316,11.316890735694686,10.4666358757114,10.47970243389067,11.345136409638926
IND,2085,11.129349697840606,12.014354489080683,7.276528825005174,7.4436519849117,11.129571153100109
JPN,2085,11.684279829285941,11.673190910275997,11.423350963584367,11.297165103207373,11.619841334178297
LAM,2085,9.350404978208468,9.398563112275195,7.201016803796316,6.947391649441215,9.346635968067128
MEA,2085,6.669518320199232,6.71708589937925,5.146699331103033,4.617968473817124,6.775114830561836
NEU,2085,12.023009191903038,12.243209806640875,8.95056644431277,8.964714906969014,11.923417556719844
OAS,2085,10.782496421461671,11.024040953774305,6.729493830141948,6.390786756993134,10.728003502173646
REF,2085,9.558997183800036,9.425246284713912,8.897457355981924,8.686922170673288,9.693385709521595
SSA,2085,7.867093883313492,8.315959268746473,4.706856217779958,4.558318889173146,7.867640938294606
USA,2085,10.547003440033908,10.534274304911689,10.112776223751899,10.004980030297569,10.482012431173787
CAZ,2090,11.500499254944824,11.516202684295086,11.202496159666044,11.094508120952812,11.432608520716679
CHA,2090,11.382428045804538,11.360130065447558,9.511320983053153,9.752627907009744,11.386024968443868
EUR,2090,11.403318673422879,11.349327543218964,10.449715390921556,10.481961360458062,11.365662871844208
IND,2090,11.225860096298685,12.22039888195169,7.276605467616849,7.4932766298687525,11.226108785632439
JPN,2090,11.683271426672853,11.676046475367542,11.416859300702004,11.29102520246763,11.619964420903782
LAM,2090,9.400332956561094,9.49557823467521,7.200410832769513,6.928188647919374,9.397518464855612
MEA,2090,6.676171879932791,6.7286035194352545,5.123520147178159,4.538650077751022,6.794659491915527
NEU,2090,12.087046882944744,12.391556945202343,8.94477605581026,9.008354802900826,11.971940351703612
OAS,2090,10.962410775995187,11.382533924800857,6.7008885524925805,6.35178809362048,10.897117559231168
REF,2090,9.572261220963549,9.446002612784365,8.896785492016738,8.693132923564802,9.709300538714933
SSA,2090,7.96434670360748,8.530793612206418,4.710403988194194,4.579696786545402,7.96519738177958
USA,2090,10.55694341320781,10.555685717094711,10.109856123256597,10.002808222413984,10.490879636291558
CAZ,2095,11.499646780751773,11.51996934009109,11.198914876688251,11.0904567574336,11.428204315329666
CHA,2095,11.401457181030514,11.424432181650133,9.503962101324468,9.778352370386608,11.405038364766932
EUR,2095,11.423210355740672,11.379462141657264,10.436119097785168,10.486702627503783,11.382432113406193
IND,2095,11.306406979119819,12.398871093870609,7.277754499492633,7.543923139179385,11.306692299253694
JPN,2095,11.683947090969763,11.680150683869186,11.41570203691046,11.289532329031898,11.618361107157709
LAM,2095,9.444443458044832,9.582968006210072,7.199822257196485,6.905236682620752,9.442910518419465
MEA,2095,6.695259882503479,6.745345524428912,5.104761468949505,4.4660227661774945,6.829475467948322
NEU,2095,12.13965009775885,12.520641707566758,8.93884286616878,9.052005024568583,12.00628938039835
OAS,2095,11.126786844664972,11.73826705001898,6.673703893514566,6.31728553338046,11.052376346505445
REF,2095,9.590000151237058,9.471249496915751,8.90177110413164,8.702165824426583,9.726251504459821
SSA,2095,8.048495916870332,8.732864402166596,4.712928710515038,4.6000645063097885,8.049528339220375
USA,2095,10.566827921550901,10.574985055291512,10.111345617308444,10.003268099264744,10.496525758377146
CAZ,2100,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2100,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2100,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2100,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2100,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2100,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2100,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2100,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2100,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2100,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2100,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2100,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2105,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2105,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2105,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2105,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2105,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2105,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2105,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2105,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2105,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2105,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2105,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2105,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2110,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2110,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2110,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2110,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2110,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2110,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2110,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2110,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2110,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2110,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2110,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2110,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2115,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2115,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2115,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2115,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2115,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2115,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2115,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2115,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2115,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2115,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2115,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2115,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2120,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2120,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2120,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2120,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2120,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2120,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2120,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2120,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2120,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2120,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2120,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2120,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2125,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2125,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2125,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2125,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2125,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2125,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2125,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2125,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2125,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2125,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2125,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2125,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2130,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2130,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2130,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2130,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2130,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2130,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2130,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2130,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2130,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2130,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2130,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2130,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2135,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2135,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2135,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2135,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2135,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2135,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2135,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2135,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2135,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2135,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2135,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2135,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2140,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2140,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2140,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2140,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2140,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2140,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2140,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2140,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2140,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2140,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2140,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2140,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2145,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2145,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2145,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2145,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2145,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2145,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2145,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2145,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2145,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2145,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2145,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2145,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2150,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2150,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2150,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2150,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2150,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2150,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2150,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2150,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2150,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2150,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2150,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2150,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
